Southwest Airlines Co.,731925
Delta Air Lines Inc.,512114
American Airlines Inc.,495953
SkyWest Airlines Inc.,440807
United Air Lines Inc.,352009
Republic Airlines,197881
JetBlue Airways,156793
Envoy Air,150758
Endeavor Air Inc.,142624
Comair Inc.,135884
Alaska Airlines Inc.,129510
Spirit Air Lines,129208
Frontier Airlines Inc.,86557
Allegiant Air,73504
Mesa Airlines Inc.,71972
Horizon Air,56320
Capital Cargo International,52827
"Commutair Aka Champlain Enterprises, Inc.",44367
Hawaiian Airlines Inc.,42212
Air Wisconsin Airlines Corp,40300
"GoJet Airlines, LLC d/b/a United Express",34793
