Air Wisconsin Airlines Corp,2022-01-01,2022-07-31,40300
Alaska Airlines Inc.,2022-01-01,2022-07-31,129510
Allegiant Air,2022-01-01,2022-07-31,73504
American Airlines Inc.,2022-01-01,2022-07-31,495953
Capital Cargo International,2022-01-01,2022-07-31,52827
Comair Inc.,2022-01-01,2022-07-31,135884
"Commutair Aka Champlain Enterprises, Inc.",2022-01-01,2022-07-31,44367
Delta Air Lines Inc.,2022-01-01,2022-07-31,512114
Endeavor Air Inc.,2022-01-01,2022-07-31,142624
Envoy Air,2022-01-01,2022-07-31,150758
Frontier Airlines Inc.,2022-01-01,2022-07-31,86557
"GoJet Airlines, LLC d/b/a United Express",2022-01-01,2022-07-31,34793
Hawaiian Airlines Inc.,2022-01-01,2022-07-31,42212
Horizon Air,2022-01-01,2022-07-31,56320
JetBlue Airways,2022-01-01,2022-07-31,156793
Mesa Airlines Inc.,2022-01-01,2022-07-31,71972
Republic Airlines,2022-01-01,2022-07-31,197881
SkyWest Airlines Inc.,2022-01-01,2022-07-31,440807
Southwest Airlines Co.,2022-01-01,2022-07-31,731925
Spirit Air Lines,2022-01-01,2022-07-31,129208
United Air Lines Inc.,2022-01-01,2022-07-31,352009
