AK,"American Airlines Inc.,Horizon Air,SkyWest Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc."
AL,"Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,Commutair Aka Champlain Enterprises, Inc.,Comair Inc.,Envoy Air,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
AR,"Mesa Airlines Inc.,American Airlines Inc.,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,Commutair Aka Champlain Enterprises, Inc.,Allegiant Air,Comair Inc.,Envoy Air,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
AZ,"Mesa Airlines Inc.,American Airlines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Hawaiian Airlines Inc.,Commutair Aka Champlain Enterprises, Inc.,Allegiant Air,Spirit Air Lines,Horizon Air,JetBlue Airways,Alaska Airlines Inc."
"Aberdeen,",SkyWest Airlines Inc.
"Abilene,",Envoy Air
Adak,Alaska Airlines Inc.
"Aguadilla,","Spirit Air Lines,JetBlue Airways,Frontier Airlines Inc.,United Air Lines Inc."
"Akron,","Capital Cargo International,Allegiant Air,Air Wisconsin Airlines Corp,Comair Inc.,Spirit Air Lines,SkyWest Airlines Inc.,GoJet Airlines, LLC d/b/a United Express"
"Alamosa,",SkyWest Airlines Inc.
"Albany,","American Airlines Inc.,Capital Cargo International,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Commutair Aka Champlain Enterprises, Inc.,Allegiant Air,Comair Inc.,JetBlue Airways,Envoy Air,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Albuquerque,","Mesa Airlines Inc.,American Airlines Inc.,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Commutair Aka Champlain Enterprises, Inc.,Allegiant Air,Horizon Air,JetBlue Airways,Envoy Air,Alaska Airlines Inc."
"Alexandria,","Commutair Aka Champlain Enterprises, Inc.,Comair Inc.,Envoy Air,SkyWest Airlines Inc.,Endeavor Air Inc."
"Allentown/Bethlehem/Easton,","Allegiant Air,Capital Cargo International,Air Wisconsin Airlines Corp,Comair Inc.,Envoy Air,SkyWest Airlines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Alpena,",SkyWest Airlines Inc.
"Amalie,","American Airlines Inc.,Spirit Air Lines,JetBlue Airways,Frontier Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc."
"Amarillo,","Mesa Airlines Inc.,American Airlines Inc.,Allegiant Air,Commutair Aka Champlain Enterprises, Inc.,Envoy Air,SkyWest Airlines Inc.,Southwest Airlines Co."
"Ana,","American Airlines Inc.,Allegiant Air,Spirit Air Lines,Horizon Air,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Alaska Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc."
"Anchorage,","American Airlines Inc.,Horizon Air,Alaska Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc."
"Angeles,","American Airlines Inc.,Allegiant Air,Spirit Air Lines,Horizon Air,JetBlue Airways,SkyWest Airlines Inc.,Southwest Airlines Co.,Alaska Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc.,Hawaiian Airlines Inc."
"Angelo,","Envoy Air,SkyWest Airlines Inc."
"Antonio,","Mesa Airlines Inc.,American Airlines Inc.,Allegiant Air,Comair Inc.,JetBlue Airways,Envoy Air,Frontier Airlines Inc.,Republic Airlines,SkyWest Airlines Inc.,Southwest Airlines Co.,Alaska Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc."
"Appleton,","Allegiant Air,Air Wisconsin Airlines Corp,Comair Inc.,Envoy Air,Republic Airlines,SkyWest Airlines Inc.,Delta Air Lines Inc.,Endeavor Air Inc."
"Arcata/Eureka,",SkyWest Airlines Inc.
"Arthur,",Envoy Air
"Asheville,","American Airlines Inc.,Capital Cargo International,Allegiant Air,Air Wisconsin Airlines Corp,Commutair Aka Champlain Enterprises, Inc.,Comair Inc.,JetBlue Airways,Envoy Air,Republic Airlines,SkyWest Airlines Inc.,Delta Air Lines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Ashland,","Capital Cargo International,Allegiant Air"
"Aspen,",SkyWest Airlines Inc.
"Atlanta,","Mesa Airlines Inc.,American Airlines Inc.,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Comair Inc.,Spirit Air Lines,JetBlue Airways,Envoy Air,Alaska Airlines Inc.,Endeavor Air Inc."
Atlantic,Spirit Air Lines
"Augusta,","Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Comair Inc.,Envoy Air,Republic Airlines,Delta Air Lines Inc.,Endeavor Air Inc."
"Austin,","Mesa Airlines Inc.,American Airlines Inc.,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Hawaiian Airlines Inc.,Commutair Aka Champlain Enterprises, Inc.,Allegiant Air,Spirit Air Lines,Horizon Air,JetBlue Airways,Envoy Air,Alaska Airlines Inc.,Endeavor Air Inc."
"Bakersfield,","Mesa Airlines Inc.,Envoy Air,SkyWest Airlines Inc."
"Baltimore,","Mesa Airlines Inc.,American Airlines Inc.,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Allegiant Air,Comair Inc.,Spirit Air Lines,JetBlue Airways,Envoy Air,Alaska Airlines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Bangor,","American Airlines Inc.,Capital Cargo International,Allegiant Air,Air Wisconsin Airlines Corp,Commutair Aka Champlain Enterprises, Inc.,Comair Inc.,Republic Airlines,Envoy Air,SkyWest Airlines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
