FlightDate,Airline,Origin,Dest,Cancelled,Diverted,CRSDepTime,DepTime,DepDelayMinutes,DepDelay,ArrTime,ArrDelayMinutes,AirTime,CRSElapsedTime,ActualElapsedTime,Distance,Year,Quarter,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,DistanceGroup,DivAirportLandings
2022-04-06,Southwest Airlines Co.,DAL,ORD,False,False,1445,1500.0,15.0,15.0,1700.0,0.0,105.0,145.0,120.0,798.0,2022,2,4,6,3,WN,WN,19393,WN,6031,WN,19393,WN,N931WN,6031,11259,1125904,30194,"Dallas, TX",TX,48,Texas,74,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,1.0,1.0,1400-1459,9.0,1509.0,1654.0,6.0,1710.0,-10.0,0.0,-1.0,1700-1759,4.0,0.0
2022-04-03,Southwest Airlines Co.,HOU,PHX,True,False,840,,,,,,,170.0,,1020.0,2022,2,4,3,7,WN,WN,19393,WN,665,WN,19393,WN,,665,12191,1219102,31453,"Houston, TX",TX,48,Texas,74,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,,,0800-0859,,,,,930.0,,,,0900-0959,5.0,0.0
2022-04-20,Southwest Airlines Co.,BWI,JAX,False,False,1510,1542.0,32.0,32.0,1730.0,20.0,93.0,120.0,108.0,663.0,2022,2,4,20,3,WN,WN,19393,WN,2333,WN,19393,WN,N8620H,2333,10821,1082106,30852,"Baltimore, MD",MD,24,Maryland,35,12451,1245102,31136,"Jacksonville, FL",FL,12,Florida,33,1.0,2.0,1500-1559,10.0,1552.0,1725.0,5.0,1710.0,20.0,1.0,1.0,1700-1759,3.0,0.0
2022-04-03,Southwest Airlines Co.,AUS,HOU,False,False,1615,1629.0,14.0,14.0,1729.0,19.0,35.0,55.0,60.0,148.0,2022,2,4,3,7,WN,WN,19393,WN,1110,WN,19393,WN,N440LV,1110,10423,1042302,30423,"Austin, TX",TX,48,Texas,74,12191,1219102,31453,"Houston, TX",TX,48,Texas,74,0.0,0.0,1600-1659,12.0,1641.0,1716.0,13.0,1710.0,19.0,1.0,1.0,1700-1759,1.0,0.0
2022-04-02,Southwest Airlines Co.,LAS,OAK,False,False,1905,2111.0,126.0,126.0,2231.0,121.0,67.0,85.0,80.0,407.0,2022,2,4,2,6,WN,WN,19393,WN,4260,WN,19393,WN,N7845A,4260,12889,1288903,32211,"Las Vegas, NV",NV,32,Nevada,85,13796,1379608,32457,"Oakland, CA",CA,6,California,91,1.0,8.0,1900-1959,8.0,2119.0,2226.0,5.0,2030.0,121.0,1.0,8.0,2000-2059,2.0,0.0
2022-04-09,Southwest Airlines Co.,SMF,SNA,False,False,1830,1839.0,9.0,9.0,1957.0,2.0,64.0,85.0,78.0,404.0,2022,2,4,9,6,WN,WN,19393,WN,3105,WN,19393,WN,N8570W,3105,14893,1489302,33192,"Sacramento, CA",CA,6,California,91,14908,1490803,32575,"Santa Ana, CA",CA,6,California,91,0.0,0.0,1800-1859,11.0,1850.0,1954.0,3.0,1955.0,2.0,0.0,0.0,1900-1959,2.0,0.0
2022-04-11,Southwest Airlines Co.,PHX,BWI,False,False,1840,1944.0,64.0,64.0,243.0,48.0,226.0,255.0,239.0,1999.0,2022,2,4,11,1,WN,WN,19393,WN,671,WN,19393,WN,N8668A,671,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,10821,1082106,30852,"Baltimore, MD",MD,24,Maryland,35,1.0,4.0,1800-1859,9.0,1953.0,239.0,4.0,155.0,48.0,1.0,3.0,0001-0559,8.0,0.0
2022-04-12,Southwest Airlines Co.,LGB,PHX,False,False,1900,1914.0,14.0,14.0,2016.0,0.0,52.0,80.0,62.0,355.0,2022,2,4,12,2,WN,WN,19393,WN,1457,WN,19393,WN,N910WN,1457,12954,1295407,32575,"Long Beach, CA",CA,6,California,91,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,0.0,0.0,1900-1959,7.0,1921.0,2013.0,3.0,2020.0,-4.0,0.0,-1.0,2000-2059,2.0,0.0
2022-04-12,Southwest Airlines Co.,STL,PHL,False,False,820,817.0,0.0,-3.0,1109.0,0.0,99.0,135.0,112.0,814.0,2022,2,4,12,2,WN,WN,19393,WN,719,WN,19393,WN,N569WN,719,15016,1501606,31123,"St. Louis, MO",MO,29,Missouri,64,14100,1410005,34100,"Philadelphia, PA",PA,42,Pennsylvania,23,0.0,-1.0,0800-0859,9.0,826.0,1105.0,4.0,1135.0,-26.0,0.0,-2.0,1100-1159,4.0,0.0
2022-04-02,Southwest Airlines Co.,BUR,ABQ,False,False,1330,1559.0,149.0,149.0,1841.0,151.0,83.0,100.0,102.0,672.0,2022,2,4,2,6,WN,WN,19393,WN,3693,WN,19393,WN,N8518R,3693,10800,1080003,32575,"Burbank, CA",CA,6,California,91,10140,1014005,30140,"Albuquerque, NM",NM,35,New Mexico,86,1.0,9.0,1300-1359,13.0,1612.0,1835.0,6.0,1610.0,151.0,1.0,10.0,1600-1659,3.0,0.0
